fips,county_name,state,population,land_area_sq_mi,population_density_per_sq_mi
45025,Chesterfield County,SC,44740,798.99,56.0
45027,Clarendon County,SC,31043,607.21,51.12
45029,Colleton County,SC,39382,1056.51,37.28
45031,Darlington County,SC,62888,560.63,112.17
45033,Dillon County,SC,27458,405.08,67.78
45035,Dorchester County,SC,178397,568.39,313.86
45037,Edgefield County,SC,29808,500.69,59.53
45039,Fairfield County,SC,20340,686.31,29.64
45041,Florence County,SC,138504,800.45,173.03
45043,Georgetown County,SC,65912,813.66,81.01
45045,Greenville County,SC,583125,785.94,741.94
45047,Greenwood County,SC,70379,455.61,154.47
45049,Hampton County,SC,18174,559.98,32.46
45051,Horry County,SC,427551,1133.15,377.31
45053,Jasper County,SC,38533,655.13,58.82
45055,Kershaw County,SC,73166,726.61,100.69
45057,Lancaster County,SC,114296,549.17,208.12
45059,Laurens County,SC,71848,712.87,100.79
45061,Lee County,SC,15730,410.19,38.35
45063,Lexington County,SC,317588,698.55,454.64
45065,McCormick County,SC,10215,358.89,28.46
45067,Marion County,SC,28242,489.37,57.71
45069,Marlboro County,SC,25488,479.87,53.11
45071,Newberry County,SC,39561,630.34,62.76
45073,Oconee County,SC,83775,626.59,133.7
45075,Orangeburg County,SC,83177,1106.38,75.18
45077,Pickens County,SC,139198,496.95,280.1
45079,Richland County,SC,434956,757.31,574.34
45081,Saluda County,SC,19680,453.21,43.42
45083,Spartanburg County,SC,380857,808.41,471.12
45085,Sumter County,SC,105067,665.08,157.98
45087,Union County,SC,26799,513.6,52.18
45089,Williamsburg County,SC,29662,934.17,31.75
45091,York County,SC,306887,680.61,450.9
46003,Aurora County,SD,2801,708.46,3.95
46005,Beadle County,SD,19624,1258.7,15.59
46007,Bennett County,SD,3307,1184.64,2.79
46009,Bon Homme County,SD,7244,563.55,12.85
46011,Brookings County,SD,37635,792.22,47.51
46013,Brown County,SD,37561,1713.03,21.93
46015,Brule County,SD,5278,817.22,6.46
46017,Buffalo County,SD,1802,471.4,3.82
46019,Butte County,SD,10856,2250.01,4.82
46021,Campbell County,SD,1377,733.77,1.88
46023,Charles Mix County,SD,9303,1097.14,8.48
46025,Clark County,SD,4031,957.51,4.21
46027,Clay County,SD,15031,412.02,36.48
46029,Codington County,SD,29562,687.59,42.99
46031,Corson County,SD,3781,2469.69,1.53
46033,Custer County,SD,9431,1556.94,6.06
46035,Davison County,SD,20069,435.63,46.07
46037,Day County,SD,5484,1028.49,5.33
46039,Deuel County,SD,4408,622.74,7.08
46041,Dewey County,SD,5419,2302.38,2.35
46043,Douglas County,SD,2888,431.8,6.69
46045,Edmunds County,SD,4022,1125.98,3.57
46047,Fall River County,SD,7467,1739.89,4.29
46049,Faulk County,SD,2178,981.71,2.22
46051,Grant County,SD,7534,681.45,11.06
46053,Gregory County,SD,4037,1014.95,3.98
46055,Haakon County,SD,1802,1810.54,1.0
46057,Hamlin County,SD,6900,507.07,13.61
46059,Hand County,SD,3121,1436.63,2.17
46061,Hanson County,SD,3456,434.58,7.95
46063,Harding County,SD,1331,2671.57,0.5
46065,Hughes County,SD,17570,741.53,23.69
46067,Hutchinson County,SD,7413,813.01,9.12
46069,Hyde County,SD,1191,860.63,1.38
46071,Jackson County,SD,2666,1863.88,1.43
46073,Jerauld County,SD,1654,526.13,3.14
46075,Jones County,SD,913,969.67,0.94
46077,Kingsbury County,SD,5284,832.24,6.35
46079,Lake County,SD,10993,562.9,19.53
46081,Lawrence County,SD,29459,800.05,36.82
46083,Lincoln County,SD,77145,577.29,133.63
46085,Lyman County,SD,3694,1642.29,2.25
46087,McCook County,SD,5964,574.21,10.39
46089,McPherson County,SD,2347,1136.67,2.06
46091,Marshall County,SD,4426,838.09,5.28
