fips,county_name,state,population,land_area_sq_mi,population_density_per_sq_mi
48327,Menard County,TX,1956,902.03,2.17
48329,Midland County,TX,187855,900.36,208.64
48331,Milam County,TX,26258,1016.36,25.84
48333,Mills County,TX,4580,748.23,6.12
48335,Mitchell County,TX,8947,911.09,9.82
48337,Montague County,TX,21966,930.91,23.6
48339,Montgomery County,TX,781194,1042.18,749.58
48341,Moore County,TX,21891,899.7,24.33
48343,Morris County,TX,12133,251.99,48.15
48345,Motley County,TX,1043,989.57,1.05
48347,Nacogdoches County,TX,66035,946.32,69.78
48349,Navarro County,TX,57181,1009.7,56.63
48351,Newton County,TX,11954,933.68,12.8
48353,Nolan County,TX,14117,911.99,15.48
48355,Nueces County,TX,352992,839.37,420.54
48357,Ochiltree County,TX,9284,917.68,10.12
48359,Oldham County,TX,1783,1500.52,1.19
48361,Orange County,TX,86266,333.8,258.44
48363,Palo Pinto County,TX,30791,952.55,32.32
48365,Panola County,TX,23018,811.36,28.37
48367,Parker County,TX,184767,903.74,204.45
48369,Parmer County,TX,9678,880.82,10.99
48371,Pecos County,TX,14560,4763.84,3.06
48373,Polk County,TX,53434,1057.05,50.55
48375,Potter County,TX,114453,908.4,125.99
48377,Presidio County,TX,5433,3855.25,1.41
48379,Rains County,TX,13542,229.49,59.01
48381,Randall County,TX,152351,912.71,166.92
48383,Reagan County,TX,3166,1175.31,2.69
48385,Real County,TX,2745,699.16,3.93
48387,Red River County,TX,11816,1043.9,11.32
48389,Reeves County,TX,12138,2635.35,4.61
48391,Refugio County,TX,6657,770.48,8.64
48393,Roberts County,TX,867,924.06,0.94
48395,Robertson County,TX,17839,855.15,20.86
48397,Rockwall County,TX,140738,127.23,1106.18
48399,Runnels County,TX,9693,1051.07,9.22
48401,Rusk County,TX,54854,924.2,59.35
48403,Sabine County,TX,10012,491.71,20.36
48405,San Augustine County,TX,7722,530.66,14.55
48407,San Jacinto County,TX,29488,569.24,51.8
48409,San Patricio County,TX,72053,693.32,103.92
48411,San Saba County,TX,5787,1135.31,5.1
48413,Schleicher County,TX,2245,1310.64,1.71
48415,Scurry County,TX,16162,905.45,17.85
48417,Shackelford County,TX,3197,914.29,3.5
48419,Shelby County,TX,24286,795.59,30.53
48421,Sherman County,TX,2781,922.86,3.01
48423,Smith County,TX,252549,921.5,274.06
48425,Somervell County,TX,10261,186.21,55.11
48427,Starr County,TX,66319,1223.18,54.22
48429,Stephens County,TX,9380,896.72,10.46
48431,Sterling County,TX,1349,923.45,1.46
48433,Stonewall County,TX,1186,916.31,1.29
48435,Sutton County,TX,3203,1453.93,2.2
48437,Swisher County,TX,6703,890.16,7.53
48439,Tarrant County,TX,2248466,865.4,2598.18
48441,Taylor County,TX,150077,915.54,163.92
48443,Terrell County,TX,702,2357.96,0.3
48445,Terry County,TX,11720,888.85,13.19
48447,Throckmorton County,TX,1554,912.55,1.7
48449,Titus County,TX,31563,406.3,77.68
48451,Tom Green County,TX,120602,1522.32,79.22
48453,Travis County,TX,1389670,994.33,1397.6
48455,Trinity County,TX,14384,693.86,20.73
48457,Tyler County,TX,20443,924.39,22.12
48459,Upshur County,TX,44410,582.98,76.18
48461,Upton County,TX,3131,1241.32,2.52
48463,Uvalde County,TX,24963,1551.92,16.09
48465,Val Verde County,TX,47835,3144.75,15.21
48467,Van Zandt County,TX,66130,842.57,78.49
48469,Victoria County,TX,92656,882.09,105.04
48471,Walker County,TX,83842,784.23,106.91
48473,Waller County,TX,69858,513.34,136.08
48475,Ward County,TX,11125,835.6,13.31
48477,Washington County,TX,38288,604.2,63.37
48479,Webb County,TX,281224,3361.5,83.66
48481,Wharton County,TX,42060,1086.14,38.72
48483,Wheeler County,TX,4773,914.53,5.22
48485,Wichita County,TX,129555,627.59,206.43
48487,Wilbarger County,TX,12481,970.95,12.85
48489,Willacy County,TX,19971,590.61,33.81
48491,Williamson County,TX,752827,1115.87,674.66
48493,Wilson County,TX,56139,803.74,69.85
48495,Winkler County,TX,7540,841.27,8.96
48497,Wise County,TX,83778,904.45,92.63
48499,Wood County,TX,49688,645.25,77.01
48501,Yoakum County,TX,7438,799.72,9.3
48503,Young County,TX,18154,914.5,19.85
48505,Zapata County,TX,13753,998.41,13.77
48507,Zavala County,TX,9037,1297.41,6.97
49001,Beaver County,UT,7301,2582.91,2.83
49003,Box Elder County,UT,65320,5781.3,11.3
49005,Cache County,UT,145000,1164.69,124.5
49007,Carbon County,UT,20680,1479.34,13.98
49009,Daggett County,UT,934,696.51,1.34
49011,Davis County,UT,381227,324.76,1173.87
49013,Duchesne County,UT,20856,3235.52,6.45
49015,Emery County,UT,10177,4462.64,2.28
49017,Garfield County,UT,5256,5179.56,1.01
49019,Grand County,UT,9790,3672.86,2.67
49021,Iron County,UT,67141,3296.17,20.37
49023,Juab County,UT,13567,3391.81,4.0
49025,Kane County,UT,8597,3994.14,2.15
49027,Millard County,UT,14057,6785.48,2.07
49029,Morgan County,UT,13383,609.2,21.97
49031,Piute County,UT,1509,758.21,1.99
49033,Rich County,UT,2687,1028.76,2.61
49035,Salt Lake County,UT,1220916,752.85,1621.72
49037,San Juan County,UT,14542,7823.69,1.86
49039,Sanpete County,UT,31453,1589.82,19.78
49041,Sevier County,UT,22827,1910.48,11.95
49043,Summit County,UT,43141,1870.67,23.06
49045,Tooele County,UT,87461,7040.27,12.42
49047,Uintah County,UT,38278,4482.88,8.54
49049,Utah County,UT,759859,2004.46,379.08
49051,Wasatch County,UT,38514,1176.95,32.72
49053,Washington County,UT,213670,2427.59,88.02
49055,Wayne County,UT,2587,2461.09,1.05
49057,Weber County,UT,278174,611.02,455.26
50001,Addison County,VT,38048,766.33,49.65
50003,Bennington County,VT,36630,674.24,54.33
50005,Caledonia County,VT,30414,649.21,46.85
50007,Chittenden County,VT,169115,536.87,315.0
50009,Essex County,VT,6051,662.37,9.14
50011,Franklin County,VT,51177,630.96,81.11
50013,Grand Isle County,VT,7511,81.77,91.85
50015,Lamoille County,VT,26294,461.25,57.01
50017,Orange County,VT,30002,687.01,43.67
50019,Orleans County,VT,27600,694.55,39.74
50021,Rutland County,VT,59653,930.55,64.1
50023,Washington County,VT,59652,687.06,86.82
50025,Windham County,VT,45204,785.96,57.51
50027,Windsor County,VT,57312,969.14,59.14
51001,Accomack County,VA,33859,449.31,75.36
51003,Albemarle County,VA,118356,720.48,164.27
51005,Alleghany County,VA,14546,446.57,32.57
51007,Amelia County,VA,13632,355.36,38.36
51009,Amherst County,VA,31962,473.96,67.44
51011,Appomattox County,VA,17172,334.22,51.38
51013,Arlington County,VA,243931,26.0,9383.04
51015,Augusta County,VA,78940,967.07,81.63
51017,Bath County,VA,4076,529.2,7.7
51019,Bedford County,VA,83059,760.12,109.27
51021,Bland County,VA,6151,357.64,17.2
51023,Botetourt County,VA,34144,541.28,63.08
51025,Brunswick County,VA,15727,566.35,27.77
51027,Buchanan County,VA,18492,502.86,36.77
51029,Buckingham County,VA,17137,579.62,29.57
51031,Campbell County,VA,55629,503.26,110.54
51033,Caroline County,VA,34413,527.37,65.25
51035,Carroll County,VA,29299,474.74,61.72
51036,Charles City County,VA,6623,182.9,36.21
51037,Charlotte County,VA,11401,475.3,23.99
51041,Chesterfield County,VA,397148,423.51,937.75
51043,Clarke County,VA,15609,175.96,88.71
51045,Craig County,VA,4800,328.1,14.63
51047,Culpeper County,VA,57666,379.17,152.09
51049,Cumberland County,VA,10352,297.47,34.8
51051,Dickenson County,VA,13236,330.44,40.06
51053,Dinwiddie County,VA,28896,503.83,57.35
51057,Essex County,VA,10654,257.34,41.4
51059,Fairfax County,VA,1167873,391.02,2986.73
51061,Fauquier County,VA,76503,647.99,118.06
51063,Floyd County,VA,15789,380.92,41.45
51065,Fluvanna County,VA,28975,287.12,100.92
51067,Franklin County,VA,55526,690.61,80.4
51069,Frederick County,VA,99955,413.13,241.94
51071,Giles County,VA,16564,357.23,46.37
51073,Gloucester County,VA,40097,217.81,184.09
51075,Goochland County,VA,29187,282.04,103.48
51077,Grayson County,VA,15230,441.79,34.47
51079,Greene County,VA,21958,155.95,140.8
51081,Greensville County,VA,11181,295.38,37.85
51083,Halifax County,VA,33447,817.73,40.9
51085,Hanover County,VA,116423,467.61,248.97
51087,Henrico County,VA,342775,233.66,1466.95
51089,Henry County,VA,49242,382.35,128.79
51091,Highland County,VA,2318,415.16,5.58
51093,Isle of Wight County,VA,41321,315.69,130.89
51095,James City County,VA,83326,142.3,585.57
51097,King and Queen County,VA,6743,315.14,21.4
51099,King George County,VA,29646,179.63,165.04
51101,King William County,VA,19617,273.91,71.62
51103,Lancaster County,VA,10995,133.32,82.47
51105,Lee County,VA,21642,435.38,49.71
51107,Loudoun County,VA,449749,515.75,872.04
51109,Louisa County,VA,42924,495.06,86.7
51111,Lunenburg County,VA,12058,431.7,27.93
51113,Madison County,VA,14237,320.64,44.4
51115,Mathews County,VA,8529,85.91,99.28
51117,Mecklenburg County,VA,30747,625.31,49.17
51119,Middlesex County,VA,10841,130.33,83.18
51121,Montgomery County,VA,98434,386.85,254.45
51125,Nelson County,VA,14920,470.75,31.69
51127,New Kent County,VA,28022,210.03,133.42
51131,Northampton County,VA,11879,211.72,56.11
51133,Northumberland County,VA,12557,191.43,65.59
51135,Nottoway County,VA,15796,314.39,50.24
51137,Orange County,VA,40083,340.55,117.7
51139,Page County,VA,23762,310.02,76.65
51141,Patrick County,VA,17424,482.96,36.08
51143,Pittsylvania County,VA,59490,969.0,61.39
51145,Powhatan County,VA,32591,260.2,125.25
51147,Prince Edward County,VA,22391,349.95,63.98
51149,Prince George County,VA,43936,265.34,165.58
51153,Prince William County,VA,502966,335.26,1500.21
51155,Pulaski County,VA,33586,319.84,105.01
51157,Rappahannock County,VA,7439,266.37,27.93
51159,Richmond County,VA,9294,191.48,48.54
51161,Roanoke County,VA,97150,250.55,387.75
51163,Rockbridge County,VA,22663,596.55,37.99
51165,Rockingham County,VA,89316,849.8,105.1
51167,Russell County,VA,25332,473.52,53.5
51169,Scott County,VA,21200,535.83,39.57
51171,Shenandoah County,VA,45839,508.08,90.22
51173,Smyth County,VA,28882,451.44,63.98
51175,Southampton County,VA,18110,599.25,30.22
51177,Spotsylvania County,VA,155388,401.94,386.59
51179,Stafford County,VA,170803,268.49,636.16
51181,Surry County,VA,6603,278.95,23.67
51183,Sussex County,VA,10755,490.24,21.94
51185,Tazewell County,VA,38635,518.79,74.47
51187,Warren County,VA,42740,214.57,199.19
51191,Washington County,VA,53898,561.19,96.04
51193,Westmoreland County,VA,19715,229.33,85.97
51195,Wise County,VA,34824,403.44,86.32
51197,Wythe County,VA,27983,461.95,60.58
51199,York County,VA,71374,104.7,681.68
51510,Alexandria city,VA,160662,14.94,10757.42
51520,Bristol city,VA,16418,12.87,1275.28
51530,Buena Vista city,VA,6672,6.44,1036.35
51540,Charlottesville city,VA,44388,10.24,4332.65
51550,Chesapeake city,VA,255332,338.46,754.4
51570,Colonial Heights city,VA,18738,7.52,2492.09
51580,Covington city,VA,5680,5.47,1038.58
51590,Danville city,VA,41647,42.8,972.99
51595,Emporia city,VA,5447,6.63,821.69
51600,Fairfax city,VA,26772,6.24,4289.7
51610,Falls Church city,VA,15159,2.05,7409.09
51620,Franklin city,VA,8478,8.28,1024.28
51630,Fredericksburg city,VA,30393,10.45,2908.42
51640,Galax city,VA,6670,8.24,809.86
51650,Hampton city,VA,137315,51.46,2668.18
51660,Harrisonburg city,VA,50839,17.34,2932.57
51670,Hopewell city,VA,23261,10.35,2246.57
51678,Lexington city,VA,7769,2.5,3108.84
51680,Lynchburg city,VA,81347,48.92,1662.96
51683,Manassas city,VA,44332,9.84,4503.91
51685,Manassas Park city,VA,16560,3.02,5474.38
51690,Martinsville city,VA,13849,10.96,1264.06
51700,Newport News city,VA,183230,69.0,2655.66
51710,Norfolk city,VA,231013,53.27,4336.24
51720,Norton city,VA,3477,7.48,465.03
51730,Petersburg city,VA,33734,22.72,1484.77
51735,Poquoson city,VA,13292,15.36,865.53
51740,Portsmouth city,VA,96777,33.3,2906.13
51750,Radford city,VA,17243,9.68,1782.04
51760,Richmond city,VA,237257,59.92,3959.23
51770,Roanoke city,VA,99111,42.52,2330.87
51775,Salem city,VA,25816,14.52,1778.33
51790,Staunton city,VA,26801,19.92,1345.43
51800,Suffolk city,VA,104699,399.17,262.29
51810,Virginia Beach city,VA,453737,244.72,1854.11
51820,Waynesboro city,VA,23951,14.97,1599.93
51830,Williamsburg city,VA,15861,8.94,1774.56
51840,Winchester city,VA,28272,9.19,3075.38
53001,Adams County,WA,21488,1924.99,11.16
53003,Asotin County,WA,22545,636.08,35.44
53005,Benton County,WA,221722,1700.13,130.41
53007,Chelan County,WA,81941,2921.18,28.05
53009,Clallam County,WA,78202,1738.78,44.98
53011,Clark County,WA,532119,628.51,846.64
53013,Columbia County,WA,4141,868.59,4.77
53015,Cowlitz County,WA,114885,1141.18,100.67
53017,Douglas County,WA,46473,1819.24,25.55
53019,Ferry County,WA,7517,2203.23,3.41
53021,Franklin County,WA,102612,1241.6,82.65
53023,Garfield County,WA,2416,710.84,3.4
53025,Grant County,WA,105727,2679.55,39.46
53027,Grays Harbor County,WA,78144,1902.27,41.08
53029,Island County,WA,85657,208.7,410.44
53031,Jefferson County,WA,33970,1803.73,18.83
53033,King County,WA,2344939,2115.75,1108.33
53035,Kitsap County,WA,283374,395.09,717.24
53037,Kittitas County,WA,48803,2297.29,21.24
53039,Klickitat County,WA,24331,1871.64,13.0
53041,Lewis County,WA,88062,2402.78,36.65
53043,Lincoln County,WA,11982,2310.6,5.19
53045,Mason County,WA,71165,959.57,74.16
53047,Okanogan County,WA,45230,5266.19,8.59
53049,Pacific County,WA,24357,933.37,26.1
53051,Pend Oreille County,WA,14457,1400.24,10.32
53053,Pierce County,WA,946288,1668.03,567.31
53055,San Juan County,WA,18577,173.92,106.82
53057,Skagit County,WA,132975,1730.23,76.85
53059,Skamania County,WA,12669,1658.27,7.64
53061,Snohomish County,WA,870656,2086.52,417.28
53063,Spokane County,WA,558344,1764.22,316.48
53065,Stevens County,WA,49668,2477.1,20.05
53067,Thurston County,WA,304261,722.51,421.11
53069,Wahkiakum County,WA,4873,262.93,18.53
53071,Walla Walla County,WA,62361,1270.03,49.1
53073,Whatcom County,WA,236392,2107.93,112.14
53075,Whitman County,WA,48512,2159.26,22.47
53077,Yakima County,WA,259185,4294.51,60.35
54001,Barbour County,WV,15414,341.06,45.19
54003,Berkeley County,WV,139522,321.13,434.47
54005,Boone County,WV,20251,502.37,40.31
54007,Braxton County,WV,11885,510.74,23.27
54009,Brooke County,WV,21142,89.04,237.45
54011,Cabell County,WV,91183,281.02,324.47
54013,Calhoun County,WV,5978,279.26,21.41
54015,Clay County,WV,7538,341.95,22.04
54017,Doddridge County,WV,7634,319.72,23.88
54019,Fayette County,WV,38165,661.96,57.65
54021,Gilmer County,WV,7085,338.5,20.93
54023,Grant County,WV,11041,477.37,23.13
54025,Greenbrier County,WV,31578,1019.82,30.96
54027,Hampshire County,WV,24105,640.4,37.64
54029,Hancock County,WV,27729,82.61,335.66
54031,Hardy County,WV,14337,582.32,24.62
54033,Harrison County,WV,64221,416.01,154.37
54035,Jackson County,WV,27450,464.36,59.11
54037,Jefferson County,WV,63102,209.29,301.51
54039,Kanawha County,WV,172381,901.74,191.17
54041,Lewis County,WV,16394,386.93,42.37
54043,Lincoln County,WV,19177,437.09,43.87
54045,Logan County,WV,30375,452.9,67.07
54047,McDowell County,WV,16878,533.46,31.64
54049,Marion County,WV,55584,308.79,180.01
54051,Marshall County,WV,29159,305.4,95.48
54053,Mason County,WV,24707,430.77,57.36
54055,Mercer County,WV,57503,418.96,137.25
54057,Mineral County,WV,26792,327.88,81.71
54059,Mingo County,WV,21455,423.12,50.71
54061,Monongalia County,WV,107991,360.09,299.9
54063,Monroe County,WV,12491,472.75,26.42
54065,Morgan County,WV,18027,229.1,78.69
54067,Nicholas County,WV,23848,646.84,36.87
54069,Ohio County,WV,40496,106.03,381.91
54071,Pendleton County,WV,5826,696.05,8.37
54073,Pleasants County,WV,7338,130.12,56.39
54075,Pocahontas County,WV,7602,940.24,8.09
54077,Preston County,WV,34004,648.81,52.41
54079,Putnam County,WV,56885,345.68,164.56
54081,Raleigh County,WV,71775,604.97,118.64
54083,Randolph County,WV,26882,1039.7,25.86
54085,Ritchie County,WV,8034,451.99,17.77
54087,Roane County,WV,13317,483.56,27.54
54089,Summers County,WV,11532,360.59,31.98
54091,Taylor County,WV,16287,172.77,94.27
54093,Tucker County,WV,6540,419.04,15.61
54095,Tyler County,WV,7881,256.3,30.75
54097,Upshur County,WV,23758,354.64,66.99
54099,Wayne County,WV,37309,506.0,73.73
54101,Webster County,WV,7760,553.47,14.02
54103,Wetzel County,WV,13734,358.07,38.36
54105,Wirt County,WV,4879,232.51,20.98
54107,Wood County,WV,82385,366.5,224.79
54109,Wyoming County,WV,19801,499.47,39.64
55001,Adams County,WI,21752,645.65,33.69
55003,Ashland County,WI,16203,1044.97,15.51
55005,Barron County,WI,46484,863.08,53.86
55007,Bayfield County,WI,16787,1477.88,11.36
55009,Brown County,WI,275803,530.1,520.29
55011,Buffalo County,WI,13318,675.79,19.71
55013,Burnett County,WI,17223,821.6,20.96
55015,Calumet County,WI,53982,318.25,169.62
55017,Chippewa County,WI,67614,1008.43,67.05
55019,Clark County,WI,35052,1209.7,28.98
55021,Columbia County,WI,58132,765.6,75.93
55023,Crawford County,WI,15910,570.8,27.87
55025,Dane County,WI,590375,1196.5,493.42
55027,Dodge County,WI,89097,875.7,101.74
55029,Door County,WI,30616,481.94,63.53
55031,Douglas County,WI,43990,1304.27,33.73
55033,Dunn County,WI,46223,850.16,54.37
55035,Eau Claire County,WI,109033,637.92,170.92
55037,Florence County,WI,4748,488.03,9.73
55039,Fond du Lac County,WI,104669,719.57,145.46
55041,Forest County,WI,9574,1014.26,9.44
55043,Grant County,WI,52446,1147.6,45.7
55045,Green County,WI,37227,584.04,63.74
55047,Green Lake County,WI,19305,349.54,55.23
55049,Iowa County,WI,23951,762.7,31.4
55051,Iron County,WI,6127,758.21,8.08
55053,Jackson County,WI,20999,987.91,21.26
55055,Jefferson County,WI,86505,556.49,155.45
55057,Juneau County,WI,26649,767.08,34.74
55059,Kenosha County,WI,168448,271.83,619.67
55061,Kewaunee County,WI,20758,342.45,60.62
55063,La Crosse County,WI,121339,451.81,268.56
55065,Lafayette County,WI,17478,633.59,27.59
55067,Langlade County,WI,19534,870.69,22.44
55069,Lincoln County,WI,28403,878.78,32.32
55071,Manitowoc County,WI,81710,589.31,138.65
55073,Marathon County,WI,139432,1545.25,90.23
55075,Marinette County,WI,42574,1399.47,30.42
55077,Marquette County,WI,15927,455.71,34.95
55078,Menominee County,WI,4199,357.62,11.74
55079,Milwaukee County,WI,924216,241.46,3827.66
55081,Monroe County,WI,46572,900.9,51.69
55083,Oconto County,WI,40195,997.48,40.3
55085,Oneida County,WI,38131,1113.95,34.23
55087,Outagamie County,WI,195894,637.56,307.26
55089,Ozaukee County,WI,94346,233.01,404.9
55091,Pepin County,WI,7513,232.01,32.38
55093,Pierce County,WI,43519,574.02,75.81
55095,Polk County,WI,45803,914.32,50.1
55097,Portage County,WI,71943,800.87,89.83
55099,Price County,WI,13988,1254.06,11.15
55101,Racine County,WI,198919,332.61,598.05
55103,Richland County,WI,17036,586.15,29.06
55105,Rock County,WI,166472,718.17,231.8
55107,Rusk County,WI,14146,913.51,15.49
55109,St. Croix County,WI,98276,722.16,136.09
55111,Sauk County,WI,66652,831.59,80.15
55113,Sawyer County,WI,18846,1257.6,14.99
55115,Shawano County,WI,41560,893.23,46.53
55117,Sheboygan County,WI,118047,511.52,230.78
55119,Taylor County,WI,20118,975.05,20.63
55121,Trempealeau County,WI,31171,732.97,42.53
55123,Vernon County,WI,31443,791.56,39.72
55125,Vilas County,WI,23761,857.71,27.7
55127,Walworth County,WI,106127,555.44,191.07
55129,Washburn County,WI,17087,797.11,21.44
55131,Washington County,WI,139238,430.64,323.33
55133,Waukesha County,WI,417210,549.73,758.94
55135,Waupaca County,WI,51461,747.7,68.83
55137,Waushara County,WI,25223,626.16,40.28
55139,Winnebago County,WI,174218,434.7,400.78
55141,Wood County,WI,74060,793.03,93.39
56001,Albany County,WY,38558,4274.18,9.02
56003,Big Horn County,WY,12024,3136.96,3.83
56005,Campbell County,WY,48145,4802.06,10.03
56007,Carbon County,WY,14013,7897.75,1.77
56009,Converse County,WY,13824,4254.99,3.25
56011,Crook County,WY,7852,2854.48,2.75
56013,Fremont County,WY,39464,9183.6,4.3
56015,Goshen County,WY,12640,2225.61,5.68
56017,Hot Springs County,WY,4600,2004.43,2.29
56019,Johnson County,WY,8908,4154.15,2.14
56021,Laramie County,WY,102938,2685.86,38.33
56023,Lincoln County,WY,21180,4075.34,5.2
56025,Natrona County,WY,80526,5340.54,15.08
56027,Niobrara County,WY,2341,2626.03,0.89
56029,Park County,WY,31171,6939.04,4.49
56031,Platte County,WY,8634,2081.46,4.15
56033,Sheridan County,WY,33241,2523.36,13.17
56035,Sublette County,WY,8929,4886.48,1.83
56037,Sweetwater County,WY,41267,10426.98,3.96
56039,Teton County,WY,23333,3996.85,5.84
56041,Uinta County,WY,20728,2081.73,9.96
56043,Washakie County,WY,7597,2238.68,3.39
56045,Weston County,WY,6840,2398.01,2.85
